rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
0,70,0,100,0,65,0,75,0,100,0,65,0,90,1,225,0,85,0,35,1,110,0,120,0,40,0,75,1,160,0,105,0,630,0,315,1,120,0,70,0,105,0,140,0,105,0,55,0,70,1,620,0,60,0,65,1,1640,0,135
0,75,0,35,0,45,1,125,0,565,0,65,0,50,0,20,0,155,0,120,0,85,1,190,1,370,0,405,0,80,0,205,1,190,1,190,1,70,0,240,0,90,0,280,0,160,0,70,0,30,0,60,0,105,0,55,0,125,0,35
0,80,0,220,0,35,0,50,0,45,1,120,0,40,0,45,0,50,1,140,0,30,0,110,0,55,0,255,0,55,0,250,0,65,0,25,0,205,0,170,1,140,0,85,1,130,0,260,0,80,0,70,0,195,0,45,0,55,0,70
0,80,0,35,1,130,0,85,0,205,0,180,0,25,0,305,0,75,0,150,0,40,0,75,0,95,0,360,0,65,0,185,0,100,0,410,1,35,0,45,0,165,1,150,0,50,0,40,1,285,0,35,1,200,0,40,0,85,0,45
0,55,0,1010,1,125,0,60,0,70,0,105,0,90,0,35,0,165,0,45,0,70,0,80,1,135,0,195,0,320,1,75,0,210,0,110,0,320,0,65,1,125,1,240,1,745,0,25,0,35,0,365,0,70,0,45,0,65,0,35
0,45,0,45,0,305,0,305,0,325,0,45,0,145,0,90,0,245,0,640,0,90,0,15,0,40,0,90,0,50,0,50,0,285,0,75,1,155,0,80,0,160,1,60,0,185,0,235,0,35,1,260,0,25,1,130,0,255,0,30
1,100,0,225,0,60,1,230,0,80,1,145,1,125,0,45,1,365,0,40,0,10,0,160,0,70,0,55,0,35,0,55,1,510,0,45,0,40,0,140,0,35,0,65,0,145,0,55,0,95,0,30,0,30,0,85,0,95,1,245
0,45,0,65,1,305,0,30,0,60,1,145,1,50,0,70,0,100,1,225,0,225,0,90,0,65,0,30,0,210,1,95,0,20,0,160,1,130,0,725,0,55,0,60,0,110,1,110,0,245,0,35,0,50,1,115,1,140,0,60
0,90,0,110,0,145,1,130,1,1005,1,545,1,370,0,40,0,60,0,290,0,155,0,50,1,50,0,170,0,85,1,50,0,45,1,125,0,55,1,220,0,285,1,90,0,65,0,95,0,30,0,35,0,45,0,35,0,115,0,5
0,30,0,125,0,20,1,175,1,2010,0,255,0,25,0,30,0,65,0,40,0,285,0,140,0,30,0,35,0,35,1,210,0,55,0,20,1,135,1,1215,0,110,0,215,0,25,0,50,0,235,0,45,0,35,1,90,0,270,0,40
0,55,0,115,0,85,0,50,0,25,0,55,1,170,0,20,0,65,0,50,0,35,0,65,0,95,0,65,0,100,0,55,0,220,0,160,1,95,0,245,0,145,1,105,0,610,0,40,0,50,0,155,0,100,1,100,0,70,0,90
1,90,0,80,0,380,0,120,0,125,0,45,0,80,0,20,0,25,0,120,0,320,1,140,0,100,0,115,0,190,0,85,0,135,1,240,1,60,0,115,0,165,0,40,1,1250,0,40,1,60,1,375,0,55,0,60,0,55,0,20
0,65,0,255,0,280,1,75,0,175,0,275,0,50,0,100,0,25,0,45,0,60,1,175,0,40,1,575,1,185,1,110,0,310,0,120,1,145,1,930,0,85,1,170,1,1095,0,375,0,85,0,100,0,55,0,120,1,1930,0,35
0,85,0,35,0,35,0,365,1,155,0,160,0,125,0,220,0,60,1,50,0,90,0,25,1,55,0,125,0,55,0,105,1,290,0,145,0,85,1,370,0,85,0,115,0,115,0,195,1,115,0,125,0,190,0,35,0,60,0,45
0,435,0,205,0,150,1,385,0,40,1,205,0,10,0,20,0,45,0,75,0,590,0,65,1,70,0,70,0,20,0,325,1,530,0,225,1,85,0,90,1,205,0,170,0,100,1,165,0,100,0,165,0,270,0,130,0,25,0,40
0,130,0,155,0,40,1,135,0,325,0,45,0,30,0,205,0,70,0,60,0,50,0,95,1,95,0,170,0,15,1,85,1,215,0,135,1,110,0,65,0,285,0,60,0,55,1,235,0,40,0,40,0,130,0,100,0,65,0,155
